Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
427_S193_L004_R1_001,427_S193_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44133501,0,151,36,61.5963805,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,warn
427_S193_L004_R2_001,427_S193_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44133501,0,151,36,67.13792274,151,pass,pass,fail,pass,fail,pass,warn,pass,warn,pass,warn
430_S47_L001_R1_001,430_S47_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33244690,0,151,37,61.90254086,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
430_S47_L001_R2_001,430_S47_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33244690,0,151,37,63.42893376,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
431_S174_L003_R1_001,431_S174_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,48291377,0,151,36,69.83193633,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
431_S174_L003_R2_001,431_S174_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,48291377,0,151,36,71.695784,151,pass,pass,fail,pass,fail,pass,warn,pass,pass,pass,warn
432_S35_L001_R1_001,432_S35_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46491051,0,151,37,68.90453194,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
432_S35_L001_R2_001,432_S35_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46491051,0,151,36,71.76333228,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
433_S160_L003_R1_001,433_S160_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40067542,0,151,37,72.80669112,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
433_S160_L003_R2_001,433_S160_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40067542,0,151,37,74.28489768,151,pass,pass,fail,pass,fail,pass,warn,pass,pass,pass,fail
437_S203_L004_R1_001,437_S203_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,48637045,0,151,37,67.04780997,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
437_S203_L004_R2_001,437_S203_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,48637045,0,151,37,71.0899256,151,pass,pass,fail,pass,fail,pass,warn,pass,pass,pass,fail
439_S225_L004_R1_001,439_S225_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,58562650,0,151,38,63.82084165,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
439_S225_L004_R2_001,439_S225_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,58562650,0,151,38,68.59844715,151,pass,pass,fail,pass,fail,pass,warn,pass,warn,pass,fail
443_S178_L003_R1_001,443_S178_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47672572,0,151,36,70.94216316,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
443_S178_L003_R2_001,443_S178_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47672572,0,151,36,71.68678772,151,pass,pass,fail,pass,fail,pass,warn,pass,pass,pass,fail
451_S229_L004_R1_001,451_S229_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44928872,0,151,37,66.59977211,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
451_S229_L004_R2_001,451_S229_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44928872,0,151,37,69.90534885,151,pass,pass,fail,pass,fail,pass,warn,pass,warn,pass,fail
453_S3_L001_R1_001,453_S3_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36209605,0,151,37,63.36648953,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
453_S3_L001_R2_001,453_S3_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36209605,0,151,37,64.86610484,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
463_S79_L002_R1_001,463_S79_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33474201,0,151,36,70.57958363,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
463_S79_L002_R2_001,463_S79_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,33474201,0,151,36,71.79689236,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
469_S161_L003_R1_001,469_S161_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47184441,0,151,37,65.49704365,151,pass,pass,warn,pass,fail,pass,pass,pass,warn,pass,fail
469_S161_L003_R2_001,469_S161_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47184441,0,151,37,66.91532807,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
470_S41_L001_R1_001,470_S41_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36188430,0,151,36,72.11879924,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
470_S41_L001_R2_001,470_S41_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,36188430,0,151,36,72.50117374,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
521_S175_L003_R1_001,521_S175_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46415003,0,151,38,65.58002665,151,pass,pass,fail,pass,fail,warn,pass,pass,warn,pass,fail
521_S175_L003_R2_001,521_S175_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46415003,0,151,38,67.56829757,151,pass,pass,fail,pass,fail,warn,warn,pass,warn,pass,warn
522_S177_L003_R1_001,522_S177_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,60798903,0,151,37,67.25887612,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
522_S177_L003_R2_001,522_S177_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,60798903,0,151,37,69.19581403,151,pass,pass,fail,pass,fail,pass,warn,pass,warn,pass,fail
530_S104_L002_R1_001,530_S104_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41764876,0,151,37,65.23439911,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
530_S104_L002_R2_001,530_S104_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41764876,0,151,37,67.09830008,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
533_S189_L003_R1_001,533_S189_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,57000168,0,151,36,66.65855599,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
533_S189_L003_R2_001,533_S189_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,57000168,0,151,37,68.61068876,151,pass,pass,fail,pass,fail,pass,warn,pass,warn,pass,fail
536_S145_L003_R1_001,536_S145_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,48290471,0,151,37,70.33462828,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
536_S145_L003_R2_001,536_S145_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,48290471,0,151,37,71.47521254,151,pass,pass,fail,pass,fail,pass,warn,pass,pass,pass,fail
543_S149_L003_R1_001,543_S149_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44345768,0,151,39,64.16738098,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
543_S149_L003_R2_001,543_S149_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44345768,0,151,38,66.45314506,151,pass,pass,fail,pass,fail,pass,warn,pass,warn,pass,fail
545_S42_L001_R1_001,545_S42_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41756420,0,151,37,70.02467062,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,warn
545_S42_L001_R2_001,545_S42_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41756420,0,151,37,70.76679306,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,warn
