Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
365_S33_L001_1P,365_S33_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,18826234,0,30-142,37,77.0358918,140.564067,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
365_S33_L001_2P,365_S33_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,18826234,0,30-142,37,77.69112926,140.8293047,pass,pass,fail,pass,warn,pass,pass,warn,pass,warn,pass
368_S19_L001_1P,368_S19_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,35681396,0,30-142,36,74.62480563,140.954501,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
368_S19_L001_2P,368_S19_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,35681396,0,30-142,36,75.33196687,140.9826298,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
371_S245_L004_1P,371_S245_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,37713418,0,30-142,36,69.38445678,140.9820008,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
371_S245_L004_2P,371_S245_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,37713418,0,30-142,36,74.00372952,140.9922381,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
374_S37_L001_1P,374_S37_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,24760778,0,30-142,36,74.45294014,140.9860237,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
374_S37_L001_2P,374_S37_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,24760778,0,30-142,36,76.04658657,140.9930335,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
379_S135_L003_1P,379_S135_L003_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,32920570,0,30-142,35,72.10180276,140.983529,pass,pass,warn,pass,warn,pass,pass,warn,pass,pass,pass
379_S135_L003_2P,379_S135_L003_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,32920570,0,30-142,35,74.11265865,140.9934024,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
380_S225_L004_1P,380_S225_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34984930,0,30-142,36,68.55812777,140.9906762,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
380_S225_L004_2P,380_S225_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34984930,0,30-142,36,68.67231128,140.9948928,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
381_S41_L001_1P,381_S41_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27312820,0,30-142,36,73.28844497,140.98501,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
381_S41_L001_2P,381_S41_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27312820,0,30-142,36,73.45468589,140.9925855,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
384_S219_L004_1P,384_S219_L004_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38134868,0,30-142,36,67.55727937,140.9783608,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
384_S219_L004_2P,384_S219_L004_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38134868,0,30-142,36,70.62281186,140.9915747,pass,pass,fail,pass,warn,pass,warn,warn,pass,pass,pass
389_S87_L002_1P,389_S87_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46505986,0,30-142,35,69.66712259,140.9698548,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
